"Date end",Size,"Clan tag","Clan name","Clan stars","Clan destruction","Opponent tag","Opponent name","Opponent stars","Opponent destruction",Result
"2025-06-24 21:08:47",5,#29RYVJ8C8,Psychole!,13,92,#2QG02QGCJ,"أسود سوريا",15,100,lose
"2025-06-22 09:54:52",5,#29RYVJ8C8,Psychole!,9,60,#2QQCCVJGU,AFGHANISTAN,15,100,lose
"2025-06-20 04:28:07",5,#29RYVJ8C8,Psychole!,13,93.4,#YJY2U0P8,f.totti,0,0,win
"2025-06-16 21:00:48",10,#29RYVJ8C8,Psychole!,28,94.7,#2RURQ0RLY,"God of war",15,57.9,win
"2025-06-14 17:06:08",10,#29RYVJ8C8,Psychole!,30,100,#2Y22LYL2L,ماکیان,28,95.8,win
"2025-06-01 06:51:05",15,#29RYVJ8C8,Psychole!,35,82.13333,#LRRY8V9J,"kenya awesome!!",43,99.13333,lose
"2025-05-29 17:43:04",15,#29RYVJ8C8,Psychole!,42,97.86667,#2Y29YUCCP,"get some",36,85.8,win
"2025-05-27 08:14:26",15,#29RYVJ8C8,Psychole!,37,82.13333,#9UGYPUPL,"GREAT MALAYA",43,97.333336,lose
"2025-05-23 21:57:36",10,#29RYVJ8C8,Psychole!,27,93.6,#YGCJ8V08,"ARIAN LAND",26,88.7,win
"2025-05-20 19:58:15",10,#29RYVJ8C8,Psychole!,29,99.7,#2Q8VGL89,"pesare khoob",25,87.5,win
"2025-05-17 11:34:05",15,#29RYVJ8C8,Psychole!,38,95.73333,#2PVVYC090,"Mad BC Bad",42,96,lose
"2025-05-15 08:11:47",15,#29RYVJ8C8,Psychole!,44,97.666664,#2G0JRJUQQ,myanmar,42,96.46667,win
"2025-04-30 20:00:00",15,#29RYVJ8C8,Psychole!,36,89.333336,#280QC2J8R,"I Need A Clan",37,88.8,lose
"2025-04-26 13:17:52",15,#29RYVJ8C8,Psychole!,35,82,#2R8YGJ0P0,"The Last King",44,98.6,lose
"2025-04-24 06:48:54",15,#29RYVJ8C8,Psychole!,41,98.933334,#CJ8LCLLU,K-TOP,41,96.53333,win
"2025-04-21 21:49:03",15,#29RYVJ8C8,Psychole!,40,94.066666,#2Q92CYL28,"Beasts of Clash",40,91.86667,win
"2025-04-19 19:12:37",15,#29RYVJ8C8,Psychole!,39,87.86667,#2YQP0P80R,"Dark warriors",44,99.066666,lose
"2025-04-17 18:17:12",15,#29RYVJ8C8,Psychole!,39,96.46667,#289RRJPCJ,plabuhanratu,0,0,win
"2025-04-14 20:28:25",20,#29RYVJ8C8,Psychole!,50,86.95,#80GRCQLP,@AES,60,100,lose
"2025-04-12 16:29:24",20,#29RYVJ8C8,Psychole!,45,82.35,#2QCR0UYVP,"Forbidden Fruit",53,96.65,lose
"2025-03-30 22:33:07",15,#29RYVJ8C8,Psychole!,42,95.26667,#2J90VLYG8,"سودای عشق ❤️",45,100,lose
"2025-03-27 22:08:34",20,#29RYVJ8C8,Psychole!,59,99,#29J8YP0L0,"unskilled noobs",59,98.95,win
"2025-03-25 21:50:55",20,#29RYVJ8C8,Psychole!,59,99.45,#2GCYL0888,AZERBAYCAN,58,98,win
"2025-03-22 21:09:04",15,#29RYVJ8C8,Psychole!,41,95.8,#2YRYPRRGJ,"Duvalle Broncos",36,87.46667,win
"2025-03-20 20:01:22",15,#29RYVJ8C8,Psychole!,44,97.666664,#22RVQ099U,"احلى اصدقاء",35,86.6,win
"2025-03-18 20:36:32",15,#29RYVJ8C8,Psychole!,44,98.666664,#2J2GR2YVR,"Clas Zomber Hoi",39,94.2,win
"2025-03-16 20:35:15",15,#29RYVJ8C8,Psychole!,42,96.4,#P8Y2Y2V8,Fun4All!,27,64.333336,win
"2025-03-14 21:07:35",15,#29RYVJ8C8,Psychole!,44,99.73333,#2LGCGYU9C,Marshals'Outlaw,44,99.73333,tie
"2025-03-12 18:38:36",15,#29RYVJ8C8,Psychole!,40,91.8,#Q0J9RJJQ,"friends company",43,96.6,lose
"2025-03-01 21:52:22",15,#29RYVJ8C8,Psychole!,44,98.6,#9LC8JGL,"Metal Brigade",17,49.4,win
"2025-02-25 19:58:29",20,#29RYVJ8C8,Psychole!,55,97.3,#22YJ90UL8,"شاباد عشق باز",58,97.8,lose
"2025-02-23 19:45:42",20,#29RYVJ8C8,Psychole!,51,87.7,#2QGYCQULG,Justice,33,62.4,win
"2025-02-21 20:16:53",15,#29RYVJ8C8,Psychole!,43,98.26667,#2YR0VPJ92,"کوهستان قندیل",36,91.53333,win
"2025-02-19 19:24:18",15,#29RYVJ8C8,Psychole!,38,94.333336,#2YVR908VC,بيروسس,44,96.73333,lose
"2025-02-17 18:04:54",15,#29RYVJ8C8,Psychole!,40,95.066666,#2GRGQJYGJ,AHAL.RU,44,99.73333,lose
"2025-02-14 20:13:07",15,#29RYVJ8C8,Psychole!,39,93.53333,#2RUJUVLPP,"Tribu WakWak°™",40,93,lose
"2025-02-11 22:49:09",15,#29RYVJ8C8,Psychole!,41,94.26667,#2LJPG8JRJ,"The OG's",24,65.46667,win
"2025-01-31 14:08:32",10,#29RYVJ8C8,Psychole!,30,100,#2G22U8Y0V,"Arrepia Pae",20,74.6,win
"2025-01-28 22:18:33",10,#29RYVJ8C8,Psychole!,29,99.3,#2GY89V80Q,"3 lng salakam",12,47.7,win
"2025-01-26 19:13:42",10,#29RYVJ8C8,Psychole!,30,100,#CCY8YCRP,Ariyai,19,69.2,win
"2025-01-24 04:09:17",15,#29RYVJ8C8,Psychole!,44,98.666664,#2J2CUVYYR,NIWIH,44,96.8,win
"2025-01-21 21:56:34",10,#29RYVJ8C8,Psychole!,30,100,#2G898QR2P,Greenworld,22,74.1,win
"2025-01-19 21:09:29",10,#29RYVJ8C8,Psychole!,27,94.6,#2J9LPC8GU,vinclan,28,96.3,lose
"2025-01-17 18:03:48",10,#29RYVJ8C8,Psychole!,30,100,#2GY98YL8Q,"free rio",25,87.5,win
"2025-01-14 08:57:12",10,#29RYVJ8C8,Psychole!,24,93.5,#2PQ9VPR22,"Green kingdom",28,93.6,lose
"2025-01-12 00:09:17",15,#29RYVJ8C8,Psychole!,33,82.46667,#2G2G28GGL,enwr,40,92.333336,lose
"2025-01-01 19:47:01",15,#29RYVJ8C8,Psychole!,37,92.333336,#VQRPGYV,Romania,45,100,lose
"2024-12-30 13:31:24",15,#29RYVJ8C8,Psychole!,37,93.666664,#2J2LVQL98,"nuchtere eddes",43,97.8,lose
"2024-12-28 10:43:15",15,#29RYVJ8C8,Psychole!,45,100,#200GPGLRL,"CLAN OF DANGER",44,99.46667,win
"2024-12-22 20:35:06",20,#29RYVJ8C8,Psychole!,58,99.65,#C80LYVP2,"Aventurous boys",58,99.3,win
"2024-12-18 21:40:27",15,#29RYVJ8C8,Psychole!,44,99.8,#2R9J02808,WarriorsNR,29,74.33,win
"2024-12-14 20:45:42",20,#29RYVJ8C8,Psychole!,56,97.35,#2RR2JQPUC,"3 Floor Corner",58,97.65,lose
"2024-12-02 01:16:09",20,#29RYVJ8C8,Psychole!,57,97.35,#2LU228V0G,MP.Alfas,43,75.2,win
"2024-11-28 00:30:57",20,#29RYVJ8C8,Psychole!,51,85.8,#PQ022Q9Q,^Dark^Matter^,50,86.45,win
"2024-11-25 23:27:31",20,#29RYVJ8C8,Psychole!,57,97.05,#2GY9VPUJV,ＢＡＬＡＨＩＢＯ,41,77.25,win
"2024-11-20 23:17:44",15,#29RYVJ8C8,Psychole!,41,95.87,#2G8QCCQQC,"S A S",29,66.6,win
"2024-11-18 22:34:19",10,#29RYVJ8C8,Psychole!,30,100,#2RL22QP9P,"King Of War",26,92.2,win
"2024-11-16 19:46:02",15,#29RYVJ8C8,Psychole!,39,89,#2LCLCQ8VV,Ezdihani,43,99.13,lose
