Tag,Name,Season,"League ID","League Name",Position,Size,Stars,Destruction,"3 Stars","2 Stars","1 Star","0 Star",Victories,Defeats,Draws
#JPRPRVUY,"Akademia CoC PL",2026-01,48000013,"Master League III",1,15,343,9805,66,36,3,0,7,0,0
#JPRPRVUY,"Akademia CoC PL",2025-12,48000013,"Master League III",2,15,316,9256,58,38,6,0,6,1,0
#JPRPRVUY,"Akademia CoC PL",2025-11,48000014,"Master League II",7,15,251,9199,44,54,6,0,1,6,0
#JPRPRVUY,"Akademia CoC PL",2025-10,48000013,"Master League III",1,15,334,9934,66,37,2,0,6,1,0
#JPRPRVUY,"Akademia CoC PL",2025-09,48000014,"Master League II",7,15,221,8085,36,46,11,2,1,6,0
#JPRPRVUY,"Akademia CoC PL",2025-08,48000013,"Master League III",1,15,307,9137,57,33,10,0,6,1,0
#JPRPRVUY,"Akademia CoC PL",2025-07,48000013,"Master League III",5,15,238,8040,25,58,17,0,3,4,0
#JPRPRVUY,"Akademia CoC PL",2025-06,48000012,"Crystal League I",1,15,307,8923,51,46,5,2,6,1,0
#JPRPRVUY,"Akademia CoC PL",2025-05,48000012,"Crystal League I",4,15,253,8690,30,59,15,1,3,4,0
#JPRPRVUY,"Akademia CoC PL",2025-04,48000012,"Crystal League I",3,15,267,8676,39,50,11,2,4,3,0
#JPRPRVUY,"Akademia CoC PL",2025-03,48000012,"Crystal League I",4,15,284,8941,52,37,14,0,4,3,0
#JPRPRVUY,"Akademia CoC PL",2025-02,48000012,"Crystal League I",6,15,231,8118,17,73,14,0,2,5,0
#JPRPRVUY,"Akademia CoC PL",2025-01,48000011,"Crystal League II",1,15,324,9193,54,43,6,0,7,0,0
#JPRPRVUY,"Akademia CoC PL",2024-12,48000011,"Crystal League II",5,15,232,8278,26,51,22,4,3,4,0
#JPRPRVUY,"Akademia CoC PL",2024-11,48000011,"Crystal League II",4,15,271,8959,37,52,16,0,4,3,0
#JPRPRVUY,"Akademia CoC PL",2024-10,48000011,"Crystal League II",5,15,255,8769,39,47,16,2,3,4,0
#JPRPRVUY,"Akademia CoC PL",2024-09,48000010,"Crystal League III",2,15,289,8348,47,37,18,2,6,1,0
#JPRPRVUY,"Akademia CoC PL",2024-08,48000010,"Crystal League III",4,15,257,7960,40,42,15,0,4,3,0
#JPRPRVUY,"Akademia CoC PL",2024-07,48000011,"Crystal League II",7,15,203,7830,30,40,27,0,1,6,0
#JPRPRVUY,"Akademia CoC PL",2024-06,48000010,"Crystal League III",1,15,297,8760,57,27,16,2,6,1,0
#JPRPRVUY,"Akademia CoC PL",2024-05,48000010,"Crystal League III",3,15,268,8117,42,30,28,2,6,1,0
#JPRPRVUY,"Akademia CoC PL",2024-04,48000009,"Gold League I",2,15,266,7255,58,11,14,4,6,1,0
#JPRPRVUY,"Akademia CoC PL",2024-03,48000009,"Gold League I",4,15,212,6153,40,23,7,1,4,3,0
#JPRPRVUY,"Akademia CoC PL",2024-02,48000010,"Crystal League III",6,15,98,3655,18,20,5,0,0,5,0
#JPRPRVUY,"Akademia CoC PL",2024-01,48000010,"Crystal League III",6,15,177,6566,20,42,24,3,1,6,0
#JPRPRVUY,"Akademia CoC PL",2023-12,48000010,"Crystal League III",5,15,244,7809,32,47,15,0,4,3,0
#JPRPRVUY,"Akademia CoC PL",2023-11,48000009,"Gold League I",2,15,268,7338,55,19,5,0,6,1,0
#JPRPRVUY,"Akademia CoC PL",2023-10,48000009,"Gold League I",4,15,226,6669,47,18,10,1,4,3,0
#JPRPRVUY,"Akademia CoC PL",2023-09,48000010,"Crystal League III",7,15,178,6215,23,37,16,4,2,5,0
#JPRPRVUY,"Akademia CoC PL",2023-08,48000010,"Crystal League III",5,15,192,6518,26,41,15,7,2,5,0
#JPRPRVUY,"Akademia CoC PL",2023-07,48000010,"Crystal League III",6,15,160,5730,24,31,20,6,1,6,0
#JPRPRVUY,"Akademia CoC PL",2023-06,48000010,"Crystal League III",6,15,168,5872,19,34,25,7,2,5,0
#JPRPRVUY,"Akademia CoC PL",2023-05,48000009,"Gold League I",1,15,318,9017,65,23,11,4,7,0,0
#JPRPRVUY,"Akademia CoC PL",2023-04,48000010,"Crystal League III",8,15,124,5256,7,37,32,16,0,7,0
#JPRPRVUY,"Akademia CoC PL",2023-03,48000010,"Crystal League III",6,15,167,5799,15,39,24,7,2,5,0
#JPRPRVUY,"Akademia CoC PL",2023-02,48000010,"Crystal League III",4,15,205,6354,33,34,9,4,3,4,0
#JPRPRVUY,"Akademia CoC PL",2023-01,48000009,"Gold League I",1,15,293,8271,55,26,10,3,7,0,0
#JPRPRVUY,"Akademia CoC PL",2022-12,48000010,"Crystal League III",7,15,153,5414,19,35,23,7,1,6,0
#JPRPRVUY,"Akademia CoC PL",2022-11,48000010,"Crystal League III",4,15,228,7625,28,50,16,1,3,4,0
#JPRPRVUY,"Akademia CoC PL",2022-10,48000009,"Gold League I",2,15,244,7632,35,35,26,3,5,2,0
#JPRPRVUY,"Akademia CoC PL",2022-09,48000010,"Crystal League III",7,15,169,5196,22,32,15,2,3,4,0
#JPRPRVUY,"Akademia CoC PL",2022-08,48000010,"Crystal League III",5,15,181,5740,23,33,19,3,3,4,0
#JPRPRVUY,"Akademia CoC PL",2022-07,48000009,"Gold League I",2,15,239,6908,46,22,9,1,5,2,0
#JPRPRVUY,"Akademia CoC PL",2022-06,48000010,"Crystal League III",7,15,161,5505,13,39,31,12,2,5,0
#JPRPRVUY,"Akademia CoC PL",2022-05,48000009,"Gold League I",2,15,300,8503,52,33,14,1,7,0,0
#JPRPRVUY,"Akademia CoC PL",2022-04,48000008,"Gold League II",1,15,291,8142,57,19,19,1,7,0,0
#JPRPRVUY,"Akademia CoC PL",2022-03,48000009,"Gold League I",7,15,156,5657,29,22,22,13,1,6,0
#JPRPRVUY,"Akademia CoC PL",2022-02,48000008,"Gold League II",1,15,211,6222,44,16,8,1,4,1,0
#JPRPRVUY,"Akademia CoC PL",2022-01,48000008,"Gold League II",3,15,267,7826,54,22,16,5,5,2,0
#JPRPRVUY,"Akademia CoC PL",2021-12,48000009,"Gold League I",8,15,129,5067,24,19,24,19,0,7,0
#JPRPRVUY,"Akademia CoC PL",2021-11,48000009,"Gold League I",4,15,202,6321,38,25,14,6,3,4,0
#JPRPRVUY,"Akademia CoC PL",2021-09,48000009,"Gold League I",6,15,167,5739,38,15,13,5,1,6,0
#JPRPRVUY,"Akademia CoC PL",2021-08,48000009,"Gold League I",4,15,213,7036,46,22,13,4,2,5,0
#JPRPRVUY,"Akademia CoC PL",2021-07,48000009,"Gold League I",6,15,194,6023,39,19,14,6,3,4,0
#JPRPRVUY,"Akademia CoC PL",2021-06,48000009,"Gold League I",6,15,196,6769,26,41,23,6,2,5,0
#JPRPRVUY,"Akademia CoC PL",2021-05,48000008,"Gold League II",2,15,276,8172,61,17,16,4,5,2,0
#JPRPRVUY,"Akademia CoC PL",2021-04,48000008,"Gold League II",3,15,257,7393,58,13,8,6,5,2,0
#JPRPRVUY,"Akademia CoC PL",2021-03,48000008,"Gold League II",3,15,261,7599,53,22,11,6,5,2,0
#JPRPRVUY,"Akademia CoC PL",2021-02,48000009,"Gold League I",7,15,130,4582,23,19,14,14,1,6,0
#JPRPRVUY,"Akademia CoC PL",2021-01,48000008,"Gold League II",2,15,272,7658,53,23,9,1,6,1,0
#JPRPRVUY,"Akademia CoC PL",2020-11,48000008,"Gold League II",5,15,149,4301,31,10,7,6,3,4,0
#JPRPRVUY,"Akademia CoC PL",2020-07,48000009,"Gold League I",7,15,139,4974,27,20,11,9,1,6,0
#JPRPRVUY,"Akademia CoC PL",2020-06,48000010,"Crystal League III",7,15,175,6159,32,26,24,12,1,6,0
