,Tag,Name,TH,BH,Level,League,"League (builder base)",Trophies,"Trophies (builder base)",Role,"Capital Level","Total Contribution","Troops donated","Troops received"
1,#PQYRCCUVU,"BOS BESAR",16,10,211,"Titan League 27","Platinum League I",355,4844,Elder,121,5244473,429,53
2,#8QQ08Y02L,"Real Gamer",16,10,224,"Golem League 21","Platinum League II",148,4799,Member,106,3754140,90,0
3,#PUY8YP9J2,Pieczarka,15,9,157,"Witch League 18","Iron League III",305,2779,Elder,76,1385514,0,0
4,#RCVCYVYJ,Kmmanutd,14,9,225,"Witch League 17","Iron League III",59,2784,Elder,90,2237559,51,0
5,#YJ0YC229,andre,15,9,212,"Witch League 17","Iron League III",0,2636,Co-leader,86,1993508,0,0
6,#Q92L0YL8Y,ćorny,15,9,166,"Witch League 17","Brass League I",0,2404,Member,45,389403,0,0
7,#88VC82VLV,Zzlevo,13,5,121,Unranked,"Stone League III",0,1257,Leader,18,88620,197,0
8,#GJQL9QGUV,Malin,13,7,117,Unranked,"Brass League I",0,2531,Member,46,419387,0,0
9,#P2JJUVJJL,mAtI,15,7,159,Unranked,"Brass League II",0,2304,Member,80,1604829,0,0
10,#2P022Q08U,#KorNiszon,16,9,199,Unranked,"Iron League III",0,2781,Member,83,1746307,0,0
11,#L9G9PQ20G,2_Macias_2,14,6,119,Unranked,"Stone League IV",0,1193,Member,62,785772,0,0
12,#PPYLJ0R9Q,MrWolf,15,10,186,Unranked,"Platinum League III",0,4556,Member,48,457665,0,0
13,#GUQP8GCUU,Voga,12,5,88,Unranked,"Stone League V",0,1038,Member,28,178909,0,0
