"Date end",Size,"Clan tag","Clan name","Clan stars","Clan destruction","Opponent tag","Opponent name","Opponent stars","Opponent destruction",Result
"2025-12-31 19:34:05",10,#JPRPRVUY,"Akademia CoC PL",24,86.2,#QJ9YGPJJ,"For lebanese",20,76.8,win
"2025-12-25 23:01:03",10,#JPRPRVUY,"Akademia CoC PL",27,93.1,#29Q2C8L9V,OSCORP,19,70.6,win
"2025-12-23 16:08:48",5,#JPRPRVUY,"Akademia CoC PL",11,77.2,#2L0L02G22,"РаЙ 2020",13,87,lose
"2025-12-20 17:50:08",10,#JPRPRVUY,"Akademia CoC PL",16,58.9,#2LQ20YLJ0,CH-Garde,26,90.7,lose
"2025-12-18 18:17:38",10,#JPRPRVUY,"Akademia CoC PL",27,93.7,#2QL0UQVQ8,SEVENSTARS,28,96.9,lose
"2025-12-13 18:06:52",10,#JPRPRVUY,"Akademia CoC PL",26,94.2,#LCYRVLCV,mashhad.tap,26,90.8,win
"2025-11-22 20:03:58",10,#JPRPRVUY,"Akademia CoC PL",27,95,#2G8UU8CQU,Orangenpower,23,86,win
"2025-11-16 20:00:20",10,#JPRPRVUY,"Akademia CoC PL",23,84.7,#2YCV0Q2UV,"Pekka Blinders",29,99.8,lose
"2025-10-31 22:18:55",10,#JPRPRVUY,"Akademia CoC PL",29,99.8,#20GYUYG99,"DAVAO CLASHER14",6,24.3,win
"2025-10-29 19:07:53",10,#JPRPRVUY,"Akademia CoC PL",18,67,#29JLV8GJP,"Keet Upton",20,74.8,lose
"2025-10-27 17:39:39",5,#JPRPRVUY,"Akademia CoC PL",12,80,#9QPPYVVV,Madurai,12,88.4,lose
"2025-10-23 21:06:16",5,#JPRPRVUY,"Akademia CoC PL",15,100,#2RGUG9U9Y,"SGS Team™",10,72.4,win
"2025-10-21 00:33:53",10,#JPRPRVUY,"Akademia CoC PL",24,91.6,#2LYC8UPJU,☢TOWERS☣,23,77.4,win
"2025-10-18 19:23:14",5,#JPRPRVUY,"Akademia CoC PL",15,100,#JYV9GPJ,bagiggioclan,6,51,win
"2025-10-16 19:33:35",5,#JPRPRVUY,"Akademia CoC PL",15,100,#2JLG0YV8V,لرستان,4,28.2,win
"2025-10-13 11:01:29",5,#JPRPRVUY,"Akademia CoC PL",14,95.6,#2J9LR0RC8,"☯️ WARRIORS ☯️",14,99.4,lose
"2025-09-30 19:34:45",10,#JPRPRVUY,"Akademia CoC PL",30,100,#2GGY9PUVP,"آذربایجان تبریز",22,88.5,win
"2025-09-28 18:46:03",5,#JPRPRVUY,"Akademia CoC PL",14,95,#2JP9P9LJ9,españolitosssss,15,100,lose
"2025-09-26 03:48:27",10,#JPRPRVUY,"Akademia CoC PL",26,96.2,#Q0QVVPLV,"DRAGON BOYZ",30,100,lose
"2025-09-23 19:15:41",15,#JPRPRVUY,"Akademia CoC PL",36,86.86667,#PVLL8PUC,"IRAN 50 STARS",28,75.53333,win
"2025-09-21 18:35:07",10,#JPRPRVUY,"Akademia CoC PL",30,100,#29UQPL089,"Türk gücü team2",15,66.7,win
"2025-09-19 18:28:50",10,#JPRPRVUY,"Akademia CoC PL",30,100,#2R8UCL0CU,"The BABY CLAN",30,100,tie
"2025-09-17 17:21:17",10,#JPRPRVUY,"Akademia CoC PL",25,88.5,#2L0QGCQQP,"Soul øf BD",28,95.8,lose
"2025-09-15 17:40:52",10,#JPRPRVUY,"Akademia CoC PL",27,97.4,#2J099U89P,"Juicy Crew 2",17,65.9,win
"2025-09-13 18:35:20",10,#JPRPRVUY,"Akademia CoC PL",26,86.3,#2LLYG8GQG,Tryharder,28,97.5,lose
"2025-09-11 18:58:53",15,#JPRPRVUY,"Akademia CoC PL",43,96.53333,#2C88Y9P2,"Bosowa Empire",45,100,lose
"2025-09-01 15:08:08",10,#JPRPRVUY,"Akademia CoC PL",29,99.8,#2G82JLR0L,"THE CRAZY’S",21,76.4,win
"2025-08-30 15:42:56",5,#JPRPRVUY,"Akademia CoC PL",14,93.8,#Y8UVJLU,AzzKikr,12,85.8,win
"2025-08-28 15:53:23",10,#JPRPRVUY,"Akademia CoC PL",27,97.4,#2P9QY22RG,"Austrian War",27,91.7,win
"2025-08-25 19:48:23",10,#JPRPRVUY,"Akademia CoC PL",27,94.3,#YJVJQ2RR,KMZBROTHERS,27,95.2,lose
"2025-08-23 19:06:07",15,#JPRPRVUY,"Akademia CoC PL",38,88.666664,#2GLGJJGVG,Yörükler,27,62.866665,win
"2025-08-21 18:27:10",10,#JPRPRVUY,"Akademia CoC PL",30,100,#2GC2L9YY8,"Diewilden kerle",21,82.6,win
"2025-08-19 18:58:56",15,#JPRPRVUY,"Akademia CoC PL",38,94.2,#2RGU2Q2QQ,ShadowWarriors2,43,97.933334,lose
"2025-08-17 17:39:59",10,#JPRPRVUY,"Akademia CoC PL",29,99.8,#2YVRVQPVP,المهاجرة,27,95.6,win
"2025-08-15 18:06:49",15,#JPRPRVUY,"Akademia CoC PL",37,88.4,#28G8QV99U,"GLADIATOR MOSH",40,90.6,lose
"2025-08-13 18:22:54",10,#JPRPRVUY,"Akademia CoC PL",29,99.8,#R0LGJY8,"حکومت صفاری",22,75.1,win
"2025-08-01 19:36:36",15,#JPRPRVUY,"Akademia CoC PL",37,88.46667,#VVCVC8RC,"Familie Ritter",41,98.2,lose
"2025-07-29 21:12:37",15,#JPRPRVUY,"Akademia CoC PL",41,94.53333,#2YVRGQRYQ,"SAKALAM CLAN",43,99.46667,lose
"2025-07-27 19:25:23",15,#JPRPRVUY,"Akademia CoC PL",40,96.333336,#2L2U8GPCU,"Best Fighters",39,91.73333,win
"2025-07-24 19:12:51",15,#JPRPRVUY,"Akademia CoC PL",38,94,#29YR80PR8,Gentilspirates2,27,68.666664,win
"2025-07-22 19:56:04",15,#JPRPRVUY,"Akademia CoC PL",45,100,#22Y2982PP,Volk*99,22,69.53333,win
"2025-07-20 18:45:06",10,#JPRPRVUY,"Akademia CoC PL",24,86.8,#YRLCPCPQ,tabriz,26,91.6,lose
"2025-07-18 19:25:54",15,#JPRPRVUY,"Akademia CoC PL",39,90.066666,#QCUCR2GJ,کرمانشاه,39,92.066666,lose
"2025-07-15 20:38:54",15,#JPRPRVUY,"Akademia CoC PL",36,89.666664,#2LLLJGJRL,"SHADY'S 2.0",45,100,lose
"2025-07-13 19:22:17",15,#JPRPRVUY,"Akademia CoC PL",44,99.46667,#9P9QGGVR,"Nepali War",44,99.2,win
"2025-07-01 18:54:33",15,#JPRPRVUY,"Akademia CoC PL",40,93,#28LC0LQQ2,"Sinner N Saints",35,86.13333,win
"2025-06-28 20:11:23",10,#JPRPRVUY,"Akademia CoC PL",27,92.7,#8G9CY2R0,CW-Clasher,29,99.9,lose
"2025-06-26 19:40:00",15,#JPRPRVUY,"Akademia CoC PL",39,97.13333,#U29LGYYQ,"meilleurs potes",37,85.13333,win
"2025-06-24 19:26:56",10,#JPRPRVUY,"Akademia CoC PL",28,98.3,#2PQRP29YP,"БЕСЕДКА ЛВК",29,99.7,lose
"2025-06-22 19:49:45",15,#JPRPRVUY,"Akademia CoC PL",39,94.86667,#2YRR8J0YQ,Txagüen,35,84.2,win
"2025-06-20 19:03:49",15,#JPRPRVUY,"Akademia CoC PL",45,100,#2LCPGQUPV,Gabagool,23,66.67,win
"2025-06-17 20:32:06",15,#JPRPRVUY,"Akademia CoC PL",41,94.27,#2P0GV0C08,"⚡HB Clan⚡",41,95,lose
"2025-06-13 19:12:30",15,#JPRPRVUY,"Akademia CoC PL",44,99.6,#2QGJJ2YUV,"the killers",35,82.33,win
"2025-06-02 19:43:48",20,#JPRPRVUY,"Akademia CoC PL",52,95,#2YYLJPVVY,"Soul of BD √",59,99.75,lose
"2025-05-31 19:11:07",15,#JPRPRVUY,"Akademia CoC PL",40,93.53,#2G888GGVJ,"harpie's song",39,89.4,win
"2025-05-28 20:09:40",15,#JPRPRVUY,"Akademia CoC PL",42,97.27,#PQP8C9VR,iran,34,83.07,win
"2025-05-26 20:26:41",15,#JPRPRVUY,"Akademia CoC PL",40,97.07,#2Y8QPC02,"Cool Lowlanders",43,97.8,lose
"2025-05-18 19:18:59",15,#JPRPRVUY,"Akademia CoC PL",35,88.87,#2LRUPY0VG,"BD WAR 1971",42,98.4,lose
"2025-05-16 19:57:41",15,#JPRPRVUY,"Akademia CoC PL",43,99.6,#2YQCR2LY8,"CHILL & ENJOY",24,66.13,win
"2025-05-14 20:23:47",15,#JPRPRVUY,"Akademia CoC PL",40,94.73,#2Q2U88RYR,Timefail,42,98.07,lose
"2025-05-12 20:24:02",15,#JPRPRVUY,"Akademia CoC PL",41,95.2,#PLLQ0V29,kaşarlar,45,100,lose
"2025-04-25 19:39:15",10,#JPRPRVUY,"Akademia CoC PL",28,94.1,#RQLPLYLV,"KING OF KING",19,74.9,win
"2025-04-23 18:41:52",15,#JPRPRVUY,"Akademia CoC PL",40,95.67,#2P98GUPRR,"Freude am Spiel",42,94.27,lose
"2025-04-21 19:25:52",15,#JPRPRVUY,"Akademia CoC PL",38,91.4,#2L0GRJUQL,"White Phoenix",42,96.33,lose
"2025-04-19 19:59:02",10,#JPRPRVUY,"Akademia CoC PL",27,91.3,#2L9RGC2LP,"МСТИТЕЛИ 2.0",27,96.5,lose
"2025-04-17 20:04:43",15,#JPRPRVUY,"Akademia CoC PL",36,86.07,#29UPCVJQC,Benchwarmers,43,96.8,lose
"2025-04-01 22:17:51",20,#JPRPRVUY,"Akademia CoC PL",53,96.45,#2PUPU0LL9,dragons,55,96.5,lose
