Tag,Name,Season,"League ID","League Name",Position,Size,Stars,Destruction,"3 Stars","2 Stars","1 Star","0 Star",Victories,Defeats,Draws
#P0J2J8GJ,"coc masters PL",2026-01,48000016,"Champion League III",1,15,356,10232,76,29,0,0,7,0,0
#P0J2J8GJ,"coc masters PL",2025-12,48000016,"Champion League III",5,15,318,10045,73,27,5,0,4,3,0
#P0J2J8GJ,"coc masters PL",2025-11,48000016,"Champion League III",4,15,306,10065,70,32,2,1,3,4,0
#P0J2J8GJ,"coc masters PL",2025-10,48000015,"Master League I",1,15,346,10126,70,31,4,0,7,0,0
#P0J2J8GJ,"coc masters PL",2025-09,48000016,"Champion League III",8,15,259,9695,51,52,2,0,0,7,0
#P0J2J8GJ,"coc masters PL",2025-08,48000016,"Champion League III",4,15,303,9749,55,39,10,0,5,2,0
#P0J2J8GJ,"coc masters PL",2025-07,48000017,"Champion League II",8,15,235,9043,43,50,6,1,0,7,0
#P0J2J8GJ,"coc masters PL",2025-06,48000018,"Champion League I",8,15,247,9504,43,57,4,0,0,7,0
#P0J2J8GJ,"coc masters PL",2025-05,48000017,"Champion League II",1,15,332,10025,74,29,2,0,5,2,0
#P0J2J8GJ,"coc masters PL",2025-04,48000016,"Champion League III",1,15,351,10105,71,34,0,0,7,0,0
#P0J2J8GJ,"coc masters PL",2025-03,48000016,"Champion League III",4,15,317,9744,58,46,1,0,5,2,0
#P0J2J8GJ,"coc masters PL",2025-02,48000015,"Master League I",1,15,356,10276,80,21,4,0,7,0,0
#P0J2J8GJ,"coc masters PL",2025-01,48000015,"Master League I",2,15,315,9538,51,48,6,0,6,1,0
#P0J2J8GJ,"coc masters PL",2024-12,48000015,"Master League I",3,15,293,9003,36,67,1,0,5,2,0
#P0J2J8GJ,"coc masters PL",2024-11,48000015,"Master League I",6,15,252,8999,32,66,6,0,2,5,0
#P0J2J8GJ,"coc masters PL",2024-10,48000015,"Master League I",4,15,256,8788,33,58,11,1,3,4,0
#P0J2J8GJ,"coc masters PL",2024-09,48000015,"Master League I",5,15,271,9379,46,54,5,0,2,5,0
#P0J2J8GJ,"coc masters PL",2024-08,48000014,"Master League II",1,15,335,9491,63,36,4,1,7,0,0
#P0J2J8GJ,"coc masters PL",2024-07,48000013,"Master League III",1,15,333,9691,59,41,4,0,7,0,0
#P0J2J8GJ,"coc masters PL",2024-06,48000013,"Master League III",3,30,561,18885,100,95,11,1,6,1,0
#P0J2J8GJ,"coc masters PL",2024-05,48000013,"Master League III",3,30,545,18046,91,99,14,1,6,1,0
#P0J2J8GJ,"coc masters PL",2024-04,48000013,"Master League III",4,30,455,16512,54,115,33,3,3,4,0
#P0J2J8GJ,"coc masters PL",2024-03,48000014,"Master League II",8,15,203,8045,16,70,15,1,0,7,0
#P0J2J8GJ,"coc masters PL",2024-02,48000014,"Master League II",5,15,166,5932,18,49,4,1,1,3,1
#P0J2J8GJ,"coc masters PL",2024-01,48000014,"Master League II",6,15,243,8302,26,67,11,1,2,5,0
#P0J2J8GJ,"coc masters PL",2023-12,48000013,"Master League III",1,15,298,8684,33,60,9,2,7,0,0
#P0J2J8GJ,"coc masters PL",2023-11,48000012,"Crystal League I",1,15,315,9257,47,46,12,0,7,0,0
#P0J2J8GJ,"coc masters PL",2023-10,48000013,"Master League III",8,30,351,13574,23,121,40,2,0,7,0
#P0J2J8GJ,"coc masters PL",2023-09,48000012,"Crystal League I",1,15,301,8773,39,51,13,0,7,0,0
#P0J2J8GJ,"coc masters PL",2023-08,48000012,"Crystal League I",3,30,535,17340,108,69,17,3,6,1,0
#P0J2J8GJ,"coc masters PL",2023-07,48000012,"Crystal League I",3,30,472,15838,75,77,36,8,6,1,0
#P0J2J8GJ,"coc masters PL",2023-06,48000011,"Crystal League II",1,15,341,9578,75,20,6,0,7,0,0
#P0J2J8GJ,"coc masters PL",2023-05,48000012,"Crystal League I",7,30,332,12491,34,88,46,7,1,6,0
#P0J2J8GJ,"coc masters PL",2023-04,48000012,"Crystal League I",2,30,459,15233,64,91,27,5,6,1,0
#P0J2J8GJ,"coc masters PL",2023-03,48000013,"Master League III",7,30,333,12268,32,97,33,11,1,6,0
#P0J2J8GJ,"coc masters PL",2023-02,48000013,"Master League III",5,15,239,8146,23,61,18,2,3,4,0
#P0J2J8GJ,"coc masters PL",2023-01,48000013,"Master League III",4,15,264,8189,21,68,15,0,5,2,0
#P0J2J8GJ,"coc masters PL",2022-12,48000013,"Master League III",3,15,245,7587,14,68,17,2,5,2,0
#P0J2J8GJ,"coc masters PL",2022-11,48000013,"Master League III",2,15,264,8344,18,64,22,0,6,1,0
#P0J2J8GJ,"coc masters PL",2022-10,48000013,"Master League III",4,15,242,7574,11,69,21,3,5,2,0
#P0J2J8GJ,"coc masters PL",2022-09,48000012,"Crystal League I",1,15,287,8321,32,53,15,0,7,0,0
#P0J2J8GJ,"coc masters PL",2022-08,48000012,"Crystal League I",2,15,292,8802,35,51,15,1,7,0,0
#P0J2J8GJ,"coc masters PL",2022-07,48000012,"Crystal League I",2,15,300,8978,52,37,10,2,6,1,0
#P0J2J8GJ,"coc masters PL",2022-06,48000012,"Crystal League I",3,15,272,8322,38,50,8,2,5,2,0
#P0J2J8GJ,"coc masters PL",2022-05,48000013,"Master League III",7,15,187,7006,4,69,27,1,1,6,0
#P0J2J8GJ,"coc masters PL",2022-04,48000013,"Master League III",4,15,231,8168,14,70,19,0,3,4,0
#P0J2J8GJ,"coc masters PL",2022-03,48000013,"Master League III",5,15,231,7497,12,72,11,1,4,3,0
#P0J2J8GJ,"coc masters PL",2022-02,48000013,"Master League III",4,15,183,5861,19,42,12,0,3,2,0
#P0J2J8GJ,"coc masters PL",2022-01,48000013,"Master League III",5,15,232,7937,20,59,26,0,3,4,0
#P0J2J8GJ,"coc masters PL",2021-12,48000013,"Master League III",6,30,385,13565,52,89,35,7,2,5,0
#P0J2J8GJ,"coc masters PL",2021-11,48000012,"Crystal League I",1,15,312,9086,48,44,11,0,7,0,0
#P0J2J8GJ,"coc masters PL",2021-10,48000013,"Master League III",7,15,201,7591,19,52,30,1,1,6,0
#P0J2J8GJ,"coc masters PL",2021-09,48000013,"Master League III",5,15,227,7642,12,72,17,1,3,4,0
#P0J2J8GJ,"coc masters PL",2021-08,48000012,"Crystal League I",1,15,291,8438,37,48,14,0,7,0,0
#P0J2J8GJ,"coc masters PL",2021-07,48000012,"Crystal League I",2,15,288,8751,42,42,18,0,6,1,0
#P0J2J8GJ,"coc masters PL",2021-06,48000013,"Master League III",8,30,258,10038,13,81,58,11,0,7,0
#P0J2J8GJ,"coc masters PL",2021-05,48000013,"Master League III",6,30,386,14479,41,96,52,7,2,5,0
#P0J2J8GJ,"coc masters PL",2021-04,48000013,"Master League III",5,15,234,8015,19,64,20,0,3,4,0
#P0J2J8GJ,"coc masters PL",2021-03,48000012,"Crystal League I",1,30,570,18282,117,64,22,1,7,0,0
#P0J2J8GJ,"coc masters PL",2021-02,48000013,"Master League III",8,30,349,13353,17,115,58,10,1,6,0
#P0J2J8GJ,"coc masters PL",2021-01,48000012,"Crystal League I",1,30,526,16957,96,79,21,3,6,1,0
#P0J2J8GJ,"coc masters PL",2020-12,48000012,"Crystal League I",3,30,485,16970,57,114,37,0,5,2,0
#P0J2J8GJ,"coc masters PL",2020-11,48000011,"Crystal League II",1,15,328,9386,63,28,13,0,7,0,0
#P0J2J8GJ,"coc masters PL",2020-10,48000011,"Crystal League II",4,30,444,15689,60,92,45,4,4,3,0
#P0J2J8GJ,"coc masters PL",2020-09,48000011,"Crystal League II",4,15,222,7541,24,48,24,2,3,4,0
