,Tag,Name,TH,BH,Level,League,"League (builder base)",Trophies,"Trophies (builder base)",Role,"Capital Level","Total Contribution","Troops donated","Troops received"
1,#9C9Q9RP82,"Juzef PL",18,10,239,"Legend League","Titanium League II",5529,4070,Elder,99,3094277,570,1101
2,#20QRJRPR2,Mejdej,18,10,267,"Legend League","Platinum League I",5465,4840,Co-leader,104,3552176,201,0
3,#292QYUVYC,bielik,18,9,251,"Legend League","Steel League II",5428,3425,Co-leader,73,1243348,501,829
4,#2P9J8CCQY,Drax90,18,10,281,"Legend League","Platinum League I",5323,4856,Co-leader,116,4734822,248,177
5,#L90QVUQJ,Mamcorz,18,10,253,"Legend League","Iron League I",5316,3046,Co-leader,100,3148174,502,233
6,#L999C9G8,Maryśka™,18,10,274,"Legend League","Platinum League I",5299,4909,Co-leader,112,4369087,58,0
7,#288CJQJU2,Michał,18,10,262,"Legend League","Titanium League III",5291,3883,Elder,96,2730581,2178,2354
8,#QVV82YUU0,"Pan Lipski",18,10,226,"Legend League","Platinum League III",5286,4552,Elder,77,1405169,1272,2414
9,#YLJJYG28G,byczeq,18,10,248,"Legend League","Platinum League I",5242,4955,Co-leader,91,2316118,603,0
10,#802R9V99J,Pedro,18,10,279,"Legend League","Platinum League II",5224,4773,Co-leader,116,4744356,533,110
11,#22CVU8U9,Jjiraya,18,10,251,"Legend League","Steel League III",5210,3334,Co-leader,111,4234842,206,0
12,#YPG8QQ280,"King Motyl",18,10,259,"Legend League","Platinum League I",5193,4978,Elder,96,2797175,5933,11042
13,#RL8YC2LL,Kiesl,18,10,238,"Legend League","Platinum League I",5141,4918,Elder,94,2607642,3454,6785
14,#2RUYVJJU,Zzlevo,18,10,264,"Legend League","Steel League III",5114,3393,Leader,81,1655060,149,0
15,#YJ9UCL8P,PeteR6,18,10,238,"Legend League","Titanium League III",5097,3858,Member,86,1952888,0,0
16,#299PCL828,Wybraniec,18,10,246,"Legend League","Emerald League III",5067,5023,Elder,99,3035480,884,2853
17,#P8U2CVRP9,arrrr,18,10,220,"Legend League","Titanium League I",5065,4398,Elder,71,1106480,409,1301
18,#PPRLRRUGU,inoja,18,10,248,"Legend League","Steel League I",5016,3614,Elder,106,3788901,5367,6267
19,#PQCPJRQ0Q,Michael,18,10,223,"Legend League","Platinum League III",4978,4587,Elder,102,3327492,696,1535
20,#LP2P2L002,"wscielky bili",18,10,260,"Electro League 33","Steel League III",1199,3353,Member,156,8707192,58,55
21,#2G8RC2JY,Mario,18,10,241,"Electro League 33","Platinum League I",1192,4872,Elder,87,2053387,3418,3077
22,#22L2VVJQQ,Gantz,18,10,284,"Electro League 33","Platinum League I",1185,4966,Elder,137,6845441,387,413
23,#9RQYYJR00,ViTanic❤️BOSS,18,10,222,"Electro League 33","Emerald League III",1047,5082,Co-leader,84,1813167,1050,54
24,#CV8LJRLV,Gucio,18,10,279,"Electro League 33","Platinum League III",629,4427,Elder,111,4250281,367,1049
