Tag,Name,"Date last war","Average TH","Attack: count","Attack: Average TH of targets","Attack: Average Stars","Attack: 3 Stars Count","Attack: % of 3 Stars","Attack: 2 Stars Count","Attack: % of 2 Stars","Attack: 1 Star Count","Attack: % of 1 Star","Attack: 0 Star Count","Attack: % of 0 Star","Attack: Miss attacks","Attack: % of Miss attacks","Defense: count","Defense: Average TH","Defense: Average Stars","Defense: 3 Stars Count","Defense: % of 3 Stars","Defense: 2 Stars Count","Defense: % of 2 Stars","Defense: 1 Star Count","Defense: % of 1 Star","Defense: 0 Star Count","Defense: % of 0 Star"
#20QRJRPR2,Mejdej,2026-02-11,18.00,25,18.00,2.92,23,92.00,2,8.00,0,0.00,0,0.00,0,0.00,18,18.00,2.44,10,55.56,6,33.33,2,11.11,0,0.00
#P9VCRQJV0,"Miki 07",2026-02-11,15.00,10,13.70,2.90,9,90.00,1,10.00,0,0.00,0,0.00,6,37.50,10,15.40,2.80,8,80.00,2,20.00,0,0.00,0,0.00
#2P9J8CCQY,Drax90,2026-02-11,18.00,27,18.00,2.85,23,85.19,4,14.81,0,0.00,0,0.00,0,0.00,22,18.00,2.41,12,54.55,7,31.82,3,13.64,0,0.00
#LJ2L00VCY,IK∆RIS,2026-01-25,18.00,11,18.00,2.82,9,81.82,2,18.18,0,0.00,0,0.00,1,8.33,7,18.00,2.57,6,85.71,0,0.00,0,0.00,1,14.29
#299PCL828,Wybraniec,2026-02-11,18.00,27,17.93,2.81,22,81.48,5,18.52,0,0.00,0,0.00,0,0.00,20,18.00,2.55,12,60.00,7,35.00,1,5.00,0,0.00
#288CJQJU2,Michał,2026-02-11,18.00,25,18.00,2.80,20,80.00,5,20.00,0,0.00,0,0.00,0,0.00,28,17.96,2.36,13,46.43,12,42.86,3,10.71,0,0.00
#YPJCCRY2L,DarthHawk,2026-01-23,17.00,9,17.22,2.67,7,77.78,1,11.11,1,11.11,0,0.00,1,10.00,7,17.00,2.57,5,71.43,1,14.29,1,14.29,0,0.00
#22CVU8U9,Jjiraya,2026-02-11,18.00,26,18.00,2.77,20,76.92,6,23.08,0,0.00,0,0.00,0,0.00,18,18.00,2.67,12,66.67,6,33.33,0,0.00,0,0.00
#LP2P2L002,"wscielky bili",2026-02-11,18.00,25,17.92,2.76,19,76.00,6,24.00,0,0.00,0,0.00,0,0.00,42,17.88,2.02,12,28.57,19,45.24,11,26.19,0,0.00
#RL8YC2LL,Kiesl,2026-02-11,18.00,25,18.00,2.72,19,76.00,5,20.00,1,4.00,0,0.00,0,0.00,33,17.82,2.15,12,36.36,14,42.42,7,21.21,0,0.00
