"Date end",Size,"Clan tag","Clan name","Clan stars","Clan destruction","Opponent tag","Opponent name","Opponent stars","Opponent destruction",Result
"2026-01-17 21:37:31",45,#P0J2J8GJ,"coc masters PL",116,88.111111111111,#2QJ0LPV2,"Legless Monkeys",115,89.288888888889,
"2026-01-15 22:24:20",5,#P0J2J8GJ,"coc masters PL",10,78.4,#PCQ00YGQ,"ak zjednoczenie",12,90.8,lose
"2026-01-15 20:29:29",45,#P0J2J8GJ,"coc masters PL",135,100,#QRGPJJGR,"07 GENÇLİK",135,100,tie
"2026-01-13 19:54:13",45,#P0J2J8GJ,"coc masters PL",135,100,#2GLJVG8VC,"LUA GAMING",115,94.17778,win
"2026-01-11 20:14:39",40,#P0J2J8GJ,"coc masters PL",120,100,#QC9JVPPG,"روج افا",108,96.3,win
"2025-12-30 19:21:32",40,#P0J2J8GJ,"coc masters PL",120,100,#UUQ0JJY,Aito,102,93.575,win
"2025-12-28 19:42:54",40,#P0J2J8GJ,"coc masters PL",118,99.375,#2LUVVJGJ2,TERMİNETÖR,118,99.075,win
"2025-12-26 20:10:27",35,#P0J2J8GJ,"coc masters PL",105,100,#YUCQQVUL,+18,70,81.4,win
"2025-12-24 20:39:54",35,#P0J2J8GJ,"coc masters PL",96,96.57143,#2YGCC8QR,FrenchClanClanA,102,99.685715,lose
"2025-12-22 19:29:58",35,#P0J2J8GJ,"coc masters PL",104,99.74286,#2Q8R90RPV,FENERBAHÇE,104,99.97143,lose
"2025-12-20 20:28:54",30,#P0J2J8GJ,"coc masters PL",90,100,#QYP9L0G,"No Life Crew 2",83,98.23333,win
"2025-12-18 19:33:51",30,#P0J2J8GJ,"coc masters PL",90,100,#220GPPRRV,✌✌RESTART✌✌,71,85.23333,win
"2025-12-16 20:07:50",30,#P0J2J8GJ,"coc masters PL",89,99.46667,#2YCU9QGPV,Germania,76,93.53333,win
"2025-12-14 20:28:21",30,#P0J2J8GJ,"coc masters PL",79,97.86667,#RJP0LYU,"French Roosters",88,99.933334,lose
"2025-12-12 19:37:25",30,#P0J2J8GJ,"coc masters PL",89,99.933334,#2UJULJ2Q,"Flying Cups",90,100,lose
"2025-11-29 20:05:02",30,#P0J2J8GJ,"coc masters PL",90,100,#GPVGU9J9,"گرگان سیتی",87,99.5,win
"2025-11-27 19:48:05",30,#P0J2J8GJ,"coc masters PL",90,100,#2QQQYCCLP,پرشیان,84,97.166664,win
"2025-11-25 19:11:04",30,#P0J2J8GJ,"coc masters PL",85,97.7,#8JGCGQVV,"Mad in Germany",78,91.73333,win
"2025-11-23 20:08:21",30,#P0J2J8GJ,"coc masters PL",88,99.566666,#2CCV0U9V,"highland farm",86,98.3,win
"2025-11-21 20:56:33",30,#P0J2J8GJ,"coc masters PL",90,100,#29RUYG2PU,"قلعة الدعم",90,100,tie
"2025-11-19 19:07:26",30,#P0J2J8GJ,"coc masters PL",89,99.8,#2LCUQ8YYJ,famillywarrior2,86,98.86667,win
"2025-11-15 20:38:15",35,#P0J2J8GJ,"coc masters PL",90,94.77143,#JU0898GQ,imperator,104,99.74286,lose
"2025-11-13 19:56:22",35,#P0J2J8GJ,"coc masters PL",104,99.85714,#C9YVL2VC,"Dutch Forces",92,98.11429,win
"2025-10-31 20:05:11",35,#P0J2J8GJ,"coc masters PL",105,100,#QLCGPV9,İSİMSİZLER,84,88.08572,win
"2025-10-28 19:05:48",35,#P0J2J8GJ,"coc masters PL",103,99.57143,#Y9PL0V0Q,IR.HIDEN,105,100,lose
"2025-10-26 18:50:24",30,#P0J2J8GJ,"coc masters PL",90,100,#2QPJ92LLR,"The Predators",83,97.26667,win
"2025-10-24 19:03:06",35,#P0J2J8GJ,"coc masters PL",100,97.74286,#22UCCP2V0,"Die Todesjäger",105,100,lose
"2025-10-22 18:33:40",35,#P0J2J8GJ,"coc masters PL",101,99.2,#QGJ0G8RQ,"BOYS OF BLASTER",104,99.97143,lose
"2025-10-20 21:56:06",30,#P0J2J8GJ,"coc masters PL",90,100,#JQ8U8PV,"Reborn Romania",87,99.23,win
"2025-10-20 18:14:30",30,#P0J2J8GJ,"coc masters PL",90,100,#JQ8U8PV,"Reborn Romania",87,99.23333,win
